################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2        108   2.1383245971737900E-12   1.5164867653288962E-03   3.1323018485983914E-04   3.5670443675930814E-04
         2        109   0.0000000000000000E+00   1.0875368171400668E-03   6.9844932563433909E-05   1.4170206422889459E-04
         2        110   6.1412513827264434E-06   1.9217276480418624E-03   3.2548429003016283E-04   3.2844418131007693E-04
         2        111   1.0812645700118749E-08   5.0021462062256128E-03   2.2297641616944195E-03   1.3491630032458322E-03
         2        112   4.8870288947022460E-12   3.5975024890601312E-03   6.0332463569478427E-04   8.8937085962864464E-04
         2        113   3.7297761346619695E-07   3.1084222882734871E-03   8.1097626577449175E-04   7.5617700662738985E-04
         2        114   0.0000000000000000E+00   1.9598696067773847E-04   8.6322777060257893E-06   2.1509386268764577E-05
         2        115   0.0000000000000000E+00   5.6375406388584840E-04   6.2672685307620262E-05   1.3197410565525918E-04
         2        116   0.0000000000000000E+00   2.6574296134520479E-04   1.4174667872187959E-05   3.3827113798088533E-05
         2        117   3.7973626755217040E-07   1.2441102383582458E-02   2.3059255736691694E-03   2.6273395323181533E-03
         2        118   0.0000000000000000E+00   5.4727526278918462E-03   7.3655064401232252E-04   1.0526826280055225E-03
         2        119   4.4336004297454567E-05   7.1081525628732545E-03   1.6363214652825031E-03   1.2088689124556806E-03
         2        120   2.7107570072014671E-03   4.3878823304820805E-02   1.5621892725348708E-02   8.4577041167210060E-03
         2        121   1.3012839006163168E-06   2.1723187543624171E-02   4.2396598633655013E-03   4.5975470206713878E-03
         2        122   0.0000000000000000E+00   8.9416214078780146E-03   1.1520454635956846E-03   1.4612263150850322E-03
         2        123   9.2201123242919452E-04   1.6483827268691312E-02   5.6397594310027260E-03   3.0946870060210960E-03
         2        124   0.0000000000000000E+00   1.8667967227538808E-03   2.4968921794778405E-04   3.7223650428857912E-04
         2        125   1.4923198192506666E-07   5.5213924929767549E-03   1.1949188577410339E-03   1.0982843611040444E-03
         2        126   0.0000000000000000E+00   1.2877524841018190E-03   1.4798168417477303E-04   2.1989952944167693E-04
         2        127   0.0000000000000000E+00   2.2138444740699369E-03   3.1326488845395602E-04   3.9084754253154963E-04
